targ_0,targ_1,targ_2
2.0,16.0,1.131110429763794
2.0,16.0,1.131110429763794
2.0,18.0,1.0110169649124146
2.0,18.0,1.0110169649124146
2.0,18.0,1.0110169649124146
2.0,16.0,1.772658348083496
2.0,16.0,1.772658348083496
2.0,16.0,1.772658348083496
2.0,18.0,2.649674892425537
2.0,18.0,2.649674892425537
2.0,18.0,2.649674892425537
2.0,18.0,1.313355803489685
2.0,18.0,1.313355803489685
2.0,18.0,1.313355803489685
2.0,18.0,1.313355803489685
2.0,18.0,1.313355803489685
2.0,18.0,1.94672429561615
2.0,18.0,1.94672429561615
2.0,18.0,1.94672429561615
2.0,16.0,1.7101527452468872
2.0,16.0,1.7101527452468872
2.0,16.0,1.7101527452468872
2.0,12.0,2.6962056159973145
2.0,18.0,1.1313583850860596
2.0,18.0,1.1313583850860596
2.0,18.0,1.1313583850860596
2.0,18.0,1.1719653606414795
2.0,18.0,1.1719653606414795
2.0,18.0,1.1719653606414795
2.0,18.0,1.1719653606414795
2.0,18.0,1.9472788572311401
2.0,18.0,1.9472788572311401
2.0,18.0,1.9472788572311401
2.0,16.0,1.015876054763794
2.0,16.0,1.015876054763794
2.0,16.0,1.015876054763794
2.0,18.0,2.0053651332855225
2.0,18.0,2.0053651332855225
2.0,18.0,2.0053651332855225
2.0,18.0,2.0053651332855225
2.0,18.0,1.015857219696045
2.0,18.0,1.015857219696045
2.0,18.0,1.015857219696045
2.0,18.0,1.428066611289978
2.0,18.0,1.428066611289978
2.0,18.0,1.428066611289978
2.0,18.0,1.0159509181976318
2.0,18.0,1.0159509181976318
2.0,18.0,1.0159509181976318
2.0,18.0,1.0039653778076172
2.0,18.0,1.0039653778076172
2.0,18.0,1.0039653778076172
2.0,16.0,1.5416265726089478
2.0,16.0,1.5416265726089478
2.0,16.0,1.5416265726089478
2.0,16.0,1.5416265726089478
2.0,16.0,1.895562767982483
2.0,16.0,1.895562767982483
2.0,16.0,1.895562767982483
2.0,16.0,1.895562767982483
2.0,18.0,1.8892678022384644
2.0,18.0,1.8892678022384644
2.0,18.0,1.8892678022384644
2.0,18.0,1.7679225206375122
2.0,18.0,1.7679225206375122
2.0,18.0,1.7679225206375122
2.0,18.0,1.7679225206375122
2.0,18.0,2.0636954307556152
2.0,18.0,2.0636954307556152
2.0,18.0,2.0636954307556152
2.0,18.0,1.9377524852752686
2.0,18.0,1.9377524852752686
2.0,18.0,1.9377524852752686
2.0,18.0,1.9377524852752686
2.0,18.0,2.5689892768859863
2.0,18.0,2.5689892768859863
2.0,18.0,2.5689892768859863
2.0,18.0,2.5689892768859863
2.0,16.0,1.0823407173156738
2.0,16.0,1.0823407173156738
2.0,16.0,1.0823407173156738
2.0,16.0,1.0823407173156738
2.0,16.0,1.0823407173156738
2.0,18.0,2.117556095123291
2.0,18.0,2.117556095123291
2.0,18.0,2.117556095123291
2.0,18.0,1.1323460340499878
2.0,18.0,1.1323460340499878
2.0,18.0,1.1323460340499878
2.0,18.0,1.1323460340499878
2.0,18.0,1.1323460340499878
2.0,18.0,1.7166128158569336
2.0,18.0,1.7166128158569336
2.0,18.0,1.7166128158569336
2.0,18.0,1.423376441001892
2.0,18.0,1.423376441001892
2.0,18.0,1.423376441001892
2.0,18.0,1.1322672367095947
2.0,18.0,1.1322672367095947
2.0,18.0,1.1322672367095947
2.0,18.0,1.3506977558135986
2.0,18.0,1.3506977558135986
2.0,18.0,1.3506977558135986
2.0,18.0,1.3506977558135986
2.0,18.0,1.3506977558135986
2.0,18.0,1.3506977558135986
2.0,18.0,1.0159273147583008
2.0,18.0,1.0159273147583008
2.0,18.0,1.0159273147583008
2.0,18.0,1.1272921562194824
2.0,18.0,1.1272921562194824
2.0,18.0,1.1272921562194824
2.0,18.0,1.4235732555389404
2.0,18.0,1.4235732555389404
2.0,18.0,1.4235732555389404
2.0,18.0,1.016035795211792
2.0,18.0,1.016035795211792
2.0,16.0,1.1762882471084595
2.0,16.0,1.1762882471084595
2.0,16.0,1.1762882471084595
2.0,16.0,1.1762882471084595
2.0,18.0,2.5208663940429688
2.0,18.0,2.5208663940429688
2.0,18.0,2.5208663940429688
2.0,16.0,1.6021257638931274
2.0,16.0,1.6021257638931274
2.0,16.0,1.6021257638931274
2.0,16.0,1.6021257638931274
2.0,18.0,1.8889862298965454
2.0,18.0,1.8889862298965454
2.0,18.0,1.8889862298965454
2.0,18.0,2.6458675861358643
2.0,18.0,2.6458675861358643
2.0,18.0,2.6458675861358643
2.0,18.0,1.7751755714416504
2.0,18.0,1.7751755714416504
2.0,18.0,1.7751755714416504
2.0,18.0,1.7751755714416504
2.0,18.0,1.7751755714416504
2.0,18.0,1.1905665397644043
2.0,18.0,1.1905665397644043
2.0,18.0,1.1905665397644043
2.0,18.0,1.1905665397644043
2.0,18.0,1.1905665397644043
2.0,18.0,1.1905665397644043
2.0,18.0,1.2481342554092407
2.0,18.0,1.2481342554092407
2.0,18.0,1.2481342554092407
2.0,18.0,1.2481342554092407
2.0,18.0,1.2481342554092407
2.0,18.0,2.2382936477661133
2.0,18.0,2.2382936477661133
2.0,18.0,2.2382936477661133
2.0,16.0,1.0079816579818726
2.0,16.0,1.0079816579818726
2.0,16.0,1.0079816579818726
2.0,18.0,1.1321412324905396
2.0,18.0,1.1321412324905396
2.0,18.0,1.1321412324905396
2.0,18.0,1.772326946258545
2.0,18.0,1.772326946258545
2.0,18.0,1.772326946258545
2.0,16.0,1.6557828187942505
2.0,16.0,1.6557828187942505
2.0,16.0,1.6557828187942505
2.0,16.0,1.6557828187942505
2.0,18.0,1.776167392730713
2.0,18.0,1.776167392730713
2.0,18.0,1.776167392730713
2.0,18.0,1.776167392730713
2.0,18.0,1.1325017213821411
2.0,18.0,1.1325017213821411
2.0,18.0,1.1325017213821411
2.0,18.0,1.015760898590088
2.0,18.0,1.015760898590088
2.0,18.0,1.015760898590088
2.0,16.0,2.0024755001068115
2.0,16.0,2.0024755001068115
2.0,16.0,2.0024755001068115
2.0,18.0,1.1954843997955322
2.0,18.0,1.1954843997955322
2.0,18.0,1.1954843997955322
2.0,18.0,1.1954843997955322
2.0,18.0,1.181373119354248
2.0,18.0,1.181373119354248
2.0,18.0,1.181373119354248
2.0,16.0,2.472008466720581
2.0,16.0,2.472008466720581
2.0,18.0,1.766091227531433
2.0,18.0,1.766091227531433
2.0,18.0,1.766091227531433
2.0,18.0,1.01585853099823
2.0,18.0,1.01585853099823
2.0,18.0,1.01585853099823
2.0,18.0,1.01585853099823
2.0,18.0,1.0160715579986572
2.0,18.0,1.0160715579986572
2.0,18.0,1.0160715579986572
2.0,16.0,1.0720901489257812
2.0,16.0,1.0720901489257812
2.0,16.0,1.0720901489257812
2.0,16.0,1.0720901489257812
2.0,16.0,1.5376392602920532
2.0,16.0,1.5376392602920532
2.0,16.0,1.5376392602920532
2.0,16.0,1.5376392602920532
2.0,16.0,1.5376392602920532
2.0,16.0,1.5376392602920532
2.0,16.0,1.5376392602920532
2.0,18.0,2.005720376968384
2.0,18.0,2.005720376968384
2.0,18.0,2.005720376968384
2.0,16.0,1.428138017654419
2.0,16.0,1.428138017654419
2.0,16.0,1.428138017654419
2.0,18.0,1.2442290782928467
2.0,18.0,1.2442290782928467
2.0,18.0,1.2442290782928467
2.0,18.0,1.0159125328063965
2.0,18.0,1.0159125328063965
2.0,18.0,1.0159125328063965
2.0,18.0,1.7620176076889038
2.0,18.0,1.7620176076889038
2.0,18.0,1.7620176076889038
2.0,18.0,1.0743027925491333
2.0,18.0,1.0743027925491333
2.0,18.0,1.0743027925491333
2.0,18.0,1.0743027925491333
2.0,18.0,1.7673579454421997
2.0,18.0,1.7673579454421997
2.0,18.0,1.7673579454421997
2.0,16.0,1.363759994506836
2.0,16.0,1.363759994506836
2.0,16.0,1.363759994506836
2.0,16.0,1.363759994506836
2.0,18.0,1.7726044654846191
