,trace_id,event_id,activity,timestamp,resource
0,10085342,44,01_BB_5,2014-03-05 23:00:00+00:00,560429
1,10089807,41,01_BB_5,2014-05-08 22:00:00+00:00,560600
2,10103656,49,01_BB_5,2014-05-08 22:00:00+00:00,560600
3,10128082,33,01_BB_5,2014-05-08 22:00:00+00:00,560600
4,10190750,47,01_BB_5,2014-05-08 22:00:00+00:00,560600
5,10284712,35,01_BB_5,2014-05-06 22:00:00+00:00,560594
6,10286510,38,01_BB_5,2014-09-18 22:00:00+00:00,560596
7,10341742,36,01_BB_5,2014-09-18 22:00:00+00:00,560596
8,10354005,66,01_BB_5,2015-02-08 23:00:00+00:00,560504
9,10387347,46,01_BB_5,2014-05-08 22:00:00+00:00,560600
10,10392184,40,01_BB_5,2014-05-08 22:00:00+00:00,560600
11,10441942,37,01_BB_5,2014-04-15 22:00:00+00:00,560429
12,10465944,44,01_BB_5,2014-09-25 22:00:00+00:00,560600
13,10471052,38,01_BB_5,2014-12-14 23:00:00+00:00,560600
14,10478085,48,01_BB_5,2014-09-08 22:00:00+00:00,560429
15,10519965,51,01_BB_5,2014-07-01 22:00:00+00:00,560600
16,10561935,45,01_BB_5,2014-05-08 22:00:00+00:00,560600
17,10722191,42,01_BB_5,2014-06-12 22:00:00+00:00,560600
18,10763516,38,01_BB_5,2014-11-27 23:00:00+00:00,560600
19,10778455,42,01_BB_5,2014-06-05 22:00:00+00:00,560429
20,10837828,40,01_BB_5,2014-06-12 22:00:00+00:00,560600
21,10873742,51,01_BB_5,2014-06-30 22:00:00+00:00,560600
22,10878259,41,01_BB_5,2014-07-20 22:00:00+00:00,560600
23,10899052,34,01_BB_5,2014-06-12 22:00:00+00:00,560600
24,10907737,44,01_BB_5,2014-07-03 22:00:00+00:00,560429
25,10928578,61,01_BB_5,2014-10-23 22:00:00+00:00,560600
26,10940705,37,01_BB_5,2014-06-12 22:00:00+00:00,560600
27,10996800,52,01_BB_5,2014-09-29 22:00:00+00:00,560598
28,11119493,47,01_BB_5,2014-11-11 23:00:00+00:00,560600
29,11168151,36,01_BB_5,2014-08-10 22:00:00+00:00,560429
30,11210887,43,01_BB_5,2014-09-02 22:00:00+00:00,560600
31,11216388,33,01_BB_5,2014-09-02 22:00:00+00:00,560600
32,11251021,42,01_BB_5,2014-09-02 22:00:00+00:00,560429
33,11293932,47,01_BB_5,2015-01-19 23:00:00+00:00,560600
34,11297432,42,01_BB_5,2014-08-10 22:00:00+00:00,560429
