trace_id,event_id,resource,timestamp,resource
4005071,1,560427,2011-03-23 12:51:57+00:00,560427
10085342,34,560429,2014-01-19 23:00:00+00:00,560429
10085342,41,560429,2014-03-05 23:00:00+00:00,560429
10085342,42,560429,2014-03-05 23:00:00+00:00,560429
10085342,43,560429,2014-03-05 23:00:00+00:00,560429
10085342,44,560429,2014-03-05 23:00:00+00:00,560429
10085342,45,560429,2014-03-05 23:00:00+00:00,560429
10085342,46,560429,2014-03-05 23:00:00+00:00,560429
10085342,47,560429,2014-03-05 23:00:00+00:00,560429
10085342,48,560429,2014-03-06 11:18:03+00:00,560429
10269075,25,560429,2014-06-23 22:00:00+00:00,560429
10269075,26,560429,2014-06-23 22:00:00+00:00,560429
10269075,27,560429,2014-06-23 22:00:00+00:00,560429
10269075,28,560429,2014-06-23 22:00:00+00:00,560429
10269075,29,560429,2014-06-23 22:00:00+00:00,560429
10269075,30,560429,2014-08-26 22:00:00+00:00,560429
10269075,31,560429,2014-08-26 22:00:00+00:00,560429
10269075,32,560429,2014-08-26 22:00:00+00:00,560429
10269075,33,560429,2014-08-26 22:00:00+00:00,560429
10269075,34,560429,2014-08-26 22:00:00+00:00,560429
10269075,35,560429,2014-08-26 22:00:00+00:00,560429
10269075,36,560429,2014-08-26 22:00:00+00:00,560429
10269075,37,560429,2014-08-26 22:00:00+00:00,560429
10269075,38,560429,2014-08-26 22:00:00+00:00,560429
10269075,39,560429,2014-09-03 22:00:00+00:00,560429
10269075,40,560429,2014-09-03 22:00:00+00:00,560429
10269075,41,560429,2014-09-03 22:00:00+00:00,560429
10269075,42,560429,2014-09-10 22:00:00+00:00,560429
10269075,43,560429,2014-09-10 22:00:00+00:00,560429
10269075,44,560429,2014-09-10 22:00:00+00:00,560429
10269075,45,560429,2014-09-10 22:00:00+00:00,560429
10269075,46,560429,2014-09-10 22:00:00+00:00,560429
10269075,47,560429,2014-09-10 22:00:00+00:00,560429
10269075,48,560429,2014-09-10 22:00:00+00:00,560429
10269075,49,560429,2014-09-10 22:00:00+00:00,560429
10269075,50,560429,2014-09-10 22:00:00+00:00,560429
10269075,51,560429,2014-09-10 22:00:00+00:00,560429
10269075,52,560429,2014-09-10 22:00:00+00:00,560429
10269075,53,560429,2014-09-10 22:00:00+00:00,560429
10269075,54,560429,2014-09-10 22:00:00+00:00,560429
10269075,55,560429,2014-09-11 05:45:54+00:00,560429
10269075,56,560429,2014-10-30 23:00:00+00:00,560429
10269075,57,560429,2014-11-09 23:00:00+00:00,560429
10269075,58,560429,2014-11-09 23:00:00+00:00,560429
10269075,59,560429,2014-11-09 23:00:00+00:00,560429
10269075,60,560429,2014-11-09 23:00:00+00:00,560429
10269075,61,560429,2014-11-09 23:00:00+00:00,560429
10269075,62,560429,2014-11-09 23:00:00+00:00,560429
10269075,63,560429,2014-11-09 23:00:00+00:00,560429
10269075,64,560429,2014-11-09 23:00:00+00:00,560429
10269075,65,560429,2014-11-09 23:00:00+00:00,560429
10269075,66,560429,2014-11-11 23:00:00+00:00,560429
10269075,68,560429,2014-11-18 23:00:00+00:00,560429
10269075,73,560429,2015-01-04 23:00:00+00:00,560429
10269075,74,560429,2015-01-04 23:00:00+00:00,560429
10269075,75,560429,2015-01-04 23:00:00+00:00,560429
10269075,76,560429,2015-01-04 23:00:00+00:00,560429
10269075,77,560429,2015-01-04 23:00:00+00:00,560429
10269075,78,560429,2015-01-04 23:00:00+00:00,560429
10269075,79,560429,2015-01-05 09:48:29+00:00,560429
10284712,33,560429,2014-02-23 23:00:00+00:00,560429
10284712,39,560429,2014-06-11 22:00:00+00:00,560429
10284712,40,560429,2014-06-11 22:00:00+00:00,560429
10441942,4,560429,2014-02-27 23:00:00+00:00,560429
10441942,5,560429,2014-02-27 23:00:00+00:00,560429
10441942,7,560429,2014-02-27 23:00:00+00:00,560429
10441942,8,560429,2014-02-27 23:00:00+00:00,560429
10441942,10,560429,2014-02-27 23:00:00+00:00,560429
10441942,11,560429,2014-02-27 23:00:00+00:00,560429
10441942,13,560429,2014-02-27 23:00:00+00:00,560429
10441942,15,560429,2014-02-27 23:00:00+00:00,560429
10441942,16,560429,2014-02-27 23:00:00+00:00,560429
10441942,17,560429,2014-02-27 23:00:00+00:00,560429
10441942,18,560429,2014-02-27 23:00:00+00:00,560429
10441942,19,560429,2014-02-27 23:00:00+00:00,560429
10441942,20,560429,2014-02-27 23:00:00+00:00,560429
10441942,21,560429,2014-02-27 23:00:00+00:00,560429
