,trace_id,event_id,resource,timestamp,resource
0,4005071,1,560427,2011-03-23 12:51:57+00:00,560427
1,10085342,44,560429,2014-03-05 23:00:00+00:00,560429
2,10441942,37,560429,2014-04-15 22:00:00+00:00,560429
3,10478085,48,560429,2014-09-08 22:00:00+00:00,560429
4,10778455,42,560429,2014-06-05 22:00:00+00:00,560429
5,10907737,44,560429,2014-07-03 22:00:00+00:00,560429
6,11168151,36,560429,2014-08-10 22:00:00+00:00,560429
7,11251021,42,560429,2014-09-02 22:00:00+00:00,560429
8,11297432,42,560429,2014-08-10 22:00:00+00:00,560429
9,11308579,37,560429,2014-09-17 22:00:00+00:00,560429
10,11354914,35,560429,2014-11-16 23:00:00+00:00,560429
11,11364555,41,560429,2014-08-20 22:00:00+00:00,560429
12,11369696,38,560429,2014-08-10 22:00:00+00:00,560429
13,11370486,57,560429,2014-09-28 22:00:00+00:00,560429
14,11372608,39,560429,2014-09-02 22:00:00+00:00,560429
15,11385456,31,560429,2014-08-10 22:00:00+00:00,560429
16,11423198,36,560429,2014-09-30 22:00:00+00:00,560429
17,11485701,37,560429,2014-09-24 22:00:00+00:00,560429
18,11516811,29,560429,2014-09-02 22:00:00+00:00,560429
19,11585514,34,560429,2014-09-02 22:00:00+00:00,560429
20,11693751,42,560429,2014-10-16 22:00:00+00:00,560429
21,11769171,39,560429,2015-01-13 23:00:00+00:00,560429
22,11839280,28,560429,2014-10-15 22:00:00+00:00,560429
23,11952343,41,560429,2014-11-06 23:00:00+00:00,560429
24,11994082,33,560429,2014-11-06 23:00:00+00:00,560429
25,12111382,28,560429,2014-11-06 23:00:00+00:00,560429
26,12135936,64,560429,2015-01-08 23:00:00+00:00,560429
27,12676555,39,560429,2015-01-04 23:00:00+00:00,560429
28,12782451,36,560429,2015-02-25 23:00:00+00:00,560429
29,12891685,35,560429,2015-01-18 23:00:00+00:00,560429
30,12939491,29,560429,2015-02-25 23:00:00+00:00,560429
31,13016880,36,560429,2015-02-25 23:00:00+00:00,560429
32,3398124,16,560429,2011-02-01 11:23:12+00:00,560429
33,3406163,23,560429,2011-02-01 11:04:39+00:00,560429
34,3415943,17,560429,2011-02-01 12:03:32+00:00,560429
35,3424995,15,560429,2011-02-01 11:56:56+00:00,560429
36,3427711,18,560429,2011-02-01 12:00:10+00:00,560429
37,3435055,19,560429,2011-02-01 11:58:03+00:00,560429
38,3441204,14,560429,2011-02-01 11:55:29+00:00,560429
39,3442235,18,560429,2011-02-01 11:14:15+00:00,560429
40,3450321,22,560429,2011-02-01 11:11:17+00:00,560429
41,3450810,16,560429,2011-02-01 12:01:06+00:00,560429
42,3453486,23,560429,2011-02-01 11:16:56+00:00,560429
43,3453943,15,560429,2011-02-01 11:08:15+00:00,560429
44,3455394,18,560429,2011-02-01 11:06:04+00:00,560429
45,3458663,18,560429,2011-02-01 12:02:17+00:00,560429
46,3464870,16,560429,2011-02-01 11:03:44+00:00,560429
47,3466709,17,560429,2011-02-01 11:22:19+00:00,560429
48,3472668,15,560429,2011-02-01 11:53:59+00:00,560429
49,3492143,23,560429,2011-02-01 11:58:46+00:00,560429
50,3507637,14,560429,2011-02-01 11:19:12+00:00,560429
51,3510903,15,560429,2011-02-01 11:02:20+00:00,560429
52,3511988,15,560429,2011-02-01 11:24:01+00:00,560429
53,3542183,17,560429,2011-02-01 11:21:37+00:00,560429
54,3554195,17,560429,2011-02-01 11:18:15+00:00,560429
55,3555963,16,560429,2011-06-09 09:10:59+00:00,560429
56,3565523,15,560429,2011-02-01 11:07:29+00:00,560429
57,3585493,15,560429,2011-08-24 14:07:49+00:00,560429
58,3617703,12,560429,2011-03-24 09:59:57+00:00,560429
59,3621780,17,560429,2011-02-01 10:57:43+00:00,560429
60,3727566,18,560429,2011-04-11 07:03:07+00:00,560429
61,3914623,20,560429,2011-10-04 12:30:41+00:00,560429
62,3959398,29,560429,2011-10-04 12:32:12+00:00,560429
63,3959398,31,560429,2011-10-04 12:32:20+00:00,560429
64,3961240,22,560429,2011-09-01 06:40:58+00:00,560429
65,3961240,24,560429,2011-09-01 06:41:16+00:00,560429
66,4028526,25,560429,2011-09-13 09:50:31+00:00,560429
67,4034837,18,560429,2011-07-06 07:14:22+00:00,560429
68,4139863,20,560429,2011-06-21 06:46:10+00:00,560429
69,4145890,18,560429,2011-07-06 07:19:17+00:00,560429
70,4216603,19,560429,2011-10-04 12:31:22+00:00,560429
71,4927985,22,560429,2011-11-03 10:07:55+00:00,560429
72,4927985,24,560429,2011-11-03 10:08:05+00:00,560429
73,5311211,26,560429,2012-04-05 06:01:22+00:00,560429
74,6727256,27,560429,2012-12-14 10:28:30+00:00,560429
75,6817110,30,560429,2013-01-30 07:44:09+00:00,560429
76,6862464,26,560429,2012-12-14 09:20:41+00:00,560429
77,6906297,24,560429,2012-12-14 10:39:45+00:00,560429
78,6934490,29,560429,2012-12-14 10:16:11+00:00,560429
79,6939344,32,560429,2012-12-14 10:19:53+00:00,560429
80,6950371,28,560429,2012-12-14 09:57:54+00:00,560429
81,6958311,29,560429,2012-12-14 10:34:15+00:00,560429
82,6960824,30,560429,2012-12-14 12:25:26+00:00,560429
83,6961780,29,560429,2012-12-14 10:29:48+00:00,560429
84,6964571,31,560429,2012-12-14 10:22:00+00:00,560429
85,6972103,29,560429,2012-12-14 10:02:39+00:00,560429
86,6987398,27,560429,2012-12-14 10:30:51+00:00,560429
87,6989049,26,560429,2012-12-14 10:38:38+00:00,560429
88,6999411,27,560429,2012-12-14 12:26:57+00:00,560429
89,7006965,29,560429,2012-12-14 09:55:32+00:00,560429
90,7021871,28,560429,2012-12-14 10:32:44+00:00,560429
91,7042976,29,560429,2012-12-14 10:13:22+00:00,560429
92,7051212,23,560429,2012-12-14 12:29:48+00:00,560429
93,7054286,28,560429,2012-12-14 10:23:29+00:00,560429
94,7064470,27,560429,2012-12-14 10:32:00+00:00,560429
95,7162835,26,560429,2012-12-14 12:28:12+00:00,560429
96,7206043,28,560429,2012-12-14 09:56:50+00:00,560429
97,8409902,57,560429,2014-02-04 23:00:00+00:00,560429
98,8409902,62,560429,2014-02-04 23:00:00+00:00,560429
99,8509765,46,560429,2013-09-29 22:00:00+00:00,560429
100,8568629,45,560429,2013-05-27 22:00:00+00:00,560429
101,8644872,42,560429,2014-03-02 23:00:00+00:00,560429
102,8920818,48,560429,2013-12-04 23:00:00+00:00,560429
103,8927461,52,560429,2013-10-17 22:00:00+00:00,560429
104,8976424,43,560429,2013-10-09 22:00:00+00:00,560429
105,8977599,40,560429,2014-09-22 22:00:00+00:00,560429
106,9204386,37,560429,2013-11-05 23:00:00+00:00,560429
107,9294907,33,560429,2013-11-18 23:00:00+00:00,560429
108,9721872,45,560429,2014-03-05 23:00:00+00:00,560429
109,9752480,41,560429,2014-03-02 23:00:00+00:00,560429
110,9824845,38,560429,2014-02-05 23:00:00+00:00,560429
111,9930882,41,560429,2014-04-30 22:00:00+00:00,560429
112,10269075,77,560429,2015-01-04 23:00:00+00:00,560429
113,12033149,46,560429,2015-01-04 23:00:00+00:00,560429
114,3914623,21,560429,2011-10-04 12:30:41+00:00,560429
115,3959398,30,560429,2011-10-04 12:32:16+00:00,560429
116,3959398,32,560429,2011-10-04 12:32:22+00:00,560429
117,3959398,34,560429,2011-11-03 10:05:38+00:00,560429
118,3961240,23,560429,2011-09-01 06:41:08+00:00,560429
119,4028526,26,560429,2011-09-13 09:50:35+00:00,560429
120,4210673,31,560429,2012-01-09 08:52:01+00:00,560429
121,4927985,23,560429,2011-11-03 10:08:00+00:00,560429
122,4927985,26,560429,2012-01-26 07:12:33+00:00,560429
123,6365048,37,560429,2012-12-14 10:43:50+00:00,560429
124,6493911,38,560429,2012-12-14 10:03:55+00:00,560429
125,6673375,32,560429,2012-12-14 09:59:00+00:00,560429
126,6779643,36,560429,2012-12-14 12:24:02+00:00,560429
127,6815502,27,560429,2012-12-14 10:05:12+00:00,560429
128,8409902,59,560429,2014-02-04 23:00:00+00:00,560429
129,9273540,60,560429,2014-05-11 22:00:00+00:00,560429
130,10085342,46,560429,2014-03-05 23:00:00+00:00,560429
131,10085342,48,560429,2014-03-06 11:18:03+00:00,560429
132,10269075,74,560429,2015-01-04 23:00:00+00:00,560429
133,10269075,79,560429,2015-01-05 09:48:29+00:00,560429
134,10441942,40,560429,2014-04-15 22:00:00+00:00,560429
135,10441942,42,560429,2014-04-16 11:42:33+00:00,560429
136,10478085,44,560429,2014-09-08 22:00:00+00:00,560429
137,10478085,50,560429,2014-09-09 05:54:47+00:00,560429
138,10778455,45,560429,2014-06-05 22:00:00+00:00,560429
139,10778455,47,560429,2014-06-06 07:15:14+00:00,560429
140,10907737,43,560429,2014-07-03 22:00:00+00:00,560429
141,10907737,46,560429,2014-07-04 09:42:55+00:00,560429
142,11168151,38,560429,2014-08-10 22:00:00+00:00,560429
143,11168151,40,560429,2014-08-11 11:15:34+00:00,560429
144,11251021,44,560429,2014-09-03 13:07:47+00:00,560429
145,11297432,43,560429,2014-08-11 11:16:55+00:00,560429
146,11308579,38,560429,2014-09-17 22:00:00+00:00,560429
147,11308579,40,560429,2014-09-18 12:25:36+00:00,560429
148,11354914,37,560429,2014-11-16 23:00:00+00:00,560429
149,11354914,39,560429,2014-11-17 06:45:29+00:00,560429
150,11364555,42,560429,2014-08-20 22:00:00+00:00,560429
151,11364555,44,560429,2014-08-21 05:48:20+00:00,560429
152,11369696,40,560429,2014-08-11 11:16:28+00:00,560429
153,11370486,59,560429,2014-09-28 22:00:00+00:00,560429
154,11370486,61,560429,2014-09-29 05:49:09+00:00,560429
155,11372608,37,560429,2014-09-02 22:00:00+00:00,560429
156,11372608,41,560429,2014-09-03 13:07:15+00:00,560429
157,11385456,33,560429,2014-08-10 22:00:00+00:00,560429
158,11385456,35,560429,2014-08-11 11:16:05+00:00,560429
159,11423198,38,560429,2014-09-30 22:00:00+00:00,560429
160,11423198,40,560429,2014-10-01 12:28:30+00:00,560429
161,11485701,38,560429,2014-09-24 22:00:00+00:00,560429
162,11485701,40,560429,2014-09-25 06:34:25+00:00,560429
163,11516811,28,560429,2014-09-02 22:00:00+00:00,560429
164,11516811,31,560429,2014-09-03 13:06:52+00:00,560429
165,11585514,36,560429,2014-09-02 22:00:00+00:00,560429
166,11585514,38,560429,2014-09-03 13:06:27+00:00,560429
167,11693751,40,560429,2014-10-16 22:00:00+00:00,560429
