CAT_activity_0,CAT_resource_0,CONT_timestamp_Relative_elapsed_0
15.0,22.0,-0.6941841244697571
1.0,54.0,-0.05484476312994957
16.0,54.0,0.8314602971076965
15.0,54.0,0.8316356539726257
15.0,49.0,-0.42717882990837097
15.0,16.0,-0.6940525770187378
15.0,4.0,-0.612797737121582
15.0,22.0,-0.6938333511352539
3.0,36.0,-0.6926054954528809
14.0,36.0,-0.6926054954528809
13.0,36.0,-0.6923424005508423
6.0,36.0,-0.6923424005508423
5.0,36.0,-0.6921670436859131
12.0,58.0,-0.643010675907135
11.0,58.0,-0.642835259437561
20.0,33.0,-0.642835259437561
19.0,33.0,-0.6427475810050964
8.0,36.0,-0.09312619268894196
7.0,36.0,-0.09211763739585876
12.0,58.0,-0.07470901310443878
11.0,58.0,-0.0745774582028389
18.0,36.0,0.3488862216472626
17.0,36.0,0.34928086400032043
2.0,18.0,1.0541328191757202
1.0,18.0,1.0564130544662476
16.0,18.0,1.5685861110687256
15.0,18.0,1.5688492059707642
15.0,14.0,-0.6941841244697571
3.0,29.0,-0.6926932334899902
14.0,29.0,-0.6926932334899902
13.0,29.0,-0.6922985911369324
6.0,29.0,-0.6922985911369324
5.0,29.0,-0.692210853099823
12.0,34.0,-0.6886151432991028
11.0,34.0,-0.6883520483970642
18.0,29.0,0.4687294661998749
17.0,29.0,0.4697380065917969
2.0,18.0,0.5615170001983643
1.0,18.0,0.5630517601966858
16.0,18.0,1.0035732984542847
15.0,18.0,1.0040117502212524
15.0,18.0,-0.6938333511352539
15.0,22.0,-0.6134554743766785
15.0,22.0,-0.6939210295677185
15.0,4.0,-0.6941403150558472
1.0,16.0,0.7642813920974731
16.0,16.0,1.4583022594451904
15.0,16.0,1.4586092233657837
15.0,49.0,-0.6941403150558472
15.0,24.0,-0.6941841244697571
15.0,13.0,-0.4876047372817993
13.0,15.0,-0.6940964460372925
6.0,15.0,-0.6940964460372925
5.0,15.0,-0.6939648985862732
12.0,3.0,-0.6761615872383118
11.0,3.0,-0.6758984923362732
18.0,15.0,-0.6314341425895691
17.0,15.0,-0.6312587857246399
2.0,4.0,3.288794994354248
1.0,4.0,3.2911629676818848
16.0,4.0,4.362253665924072
15.0,4.0,4.362692356109619
1.0,4.0,-0.1827126443386078
16.0,4.0,0.13467682898044586
15.0,4.0,0.13511532545089722
17.0,48.0,-0.43551039695739746
2.0,13.0,0.38716763257980347
1.0,13.0,0.6468937993049622
16.0,13.0,1.0907918214797974
15.0,13.0,1.091098666191101
3.0,9.0,-0.6936579346656799
22.0,9.0,-0.6936579346656799
21.0,9.0,-0.6933509707450867
14.0,9.0,-0.6933509707450867
13.0,9.0,-0.6930440068244934
6.0,9.0,-0.6930440068244934
5.0,9.0,-0.6928686499595642
12.0,6.0,-0.6781787276268005
11.0,6.0,-0.6779595017433167
18.0,9.0,-0.12654022872447968
17.0,9.0,-0.12496161460876465
2.0,13.0,2.465897560119629
1.0,13.0,2.4670815467834473
16.0,13.0,2.8021867275238037
15.0,13.0,2.802669048309326
15.0,18.0,-0.6941403150558472
3.0,17.0,-0.6936140656471252
22.0,17.0,-0.6936140656471252
21.0,17.0,-0.6929124593734741
14.0,17.0,-0.6929124593734741
13.0,17.0,-0.6924739480018616
6.0,17.0,-0.6924739480018616
5.0,17.0,-0.6924739480018616
12.0,3.0,-0.6756792664527893
11.0,3.0,-0.6755915284156799
18.0,17.0,-0.5049256682395935
17.0,17.0,-0.5026454329490662
2.0,54.0,1.7832778692245483
1.0,54.0,1.7846810817718506
16.0,54.0,3.0972561836242676
15.0,54.0,3.100369691848755
17.0,59.0,-0.4987427294254303
2.0,24.0,0.03605719283223152
1.0,24.0,0.23224404454231262
16.0,24.0,1.1116645336151123
15.0,24.0,1.1119714975357056
1.0,18.0,-0.4339756369590759
16.0,18.0,0.004441027995198965
15.0,18.0,0.004879532381892204
11.0,39.0,-0.6942718625068665
18.0,37.0,-0.2708520293235779
17.0,37.0,-0.2698872983455658
2.0,53.0,0.6815794706344604
1.0,53.0,0.6831580996513367
16.0,53.0,1.1867364645004272
15.0,53.0,1.1870872974395752
3.0,28.0,-0.68006432056427
22.0,28.0,-0.68006432056427
21.0,28.0,-0.6793627142906189
14.0,28.0,-0.6793627142906189
13.0,28.0,-0.6787926554679871
6.0,28.0,-0.6787926554679871
5.0,28.0,-0.6786611080169678
12.0,2.0,-0.6233218312263489
11.0,2.0,-0.6230587363243103
20.0,33.0,-0.6230587363243103
19.0,33.0,-0.6230148673057556
8.0,28.0,-0.0102927191182971
7.0,28.0,-0.008231747895479202
12.0,2.0,0.008299866691231728
11.0,2.0,0.008387567475438118
20.0,33.0,0.008387567475438118
19.0,33.0,0.008431417867541313
21.0,42.0,-0.6930001974105835
14.0,42.0,-0.6930001974105835
13.0,42.0,-0.6928686499595642
6.0,42.0,-0.6928686499595642
5.0,42.0,-0.6926932334899902
12.0,2.0,-0.6894921660423279
11.0,2.0,-0.6892728805541992
18.0,42.0,-0.26646697521209717
17.0,42.0,-0.2651076018810272
2.0,14.0,0.31459516286849976
1.0,14.0,0.3168315291404724
16.0,14.0,1.0694804191589355
15.0,14.0,1.0696996450424194
2.0,24.0,-0.4996635913848877
17.0,47.0,-0.18231798708438873
1.0,24.0,0.013605769723653793
16.0,24.0,0.9692383408546448
15.0,24.0,0.969545304775238
1.0,4.0,-0.1817479282617569
16.0,4.0,1.0161583423614502
15.0,4.0,1.0165091753005981
15.0,4.0,-0.6941841244697571
3.0,27.0,-0.6915531158447266
14.0,27.0,-0.6915531158447266
13.0,27.0,-0.6909830570220947
6.0,27.0,-0.6909830570220947
5.0,27.0,-0.6908953785896301
12.0,23.0,-0.675372302532196
11.0,23.0,-0.6752846240997314
18.0,27.0,-0.2523471415042877
17.0,27.0,-0.2509877681732178
2.0,13.0,0.384361207485199
1.0,13.0,0.3869484066963196
16.0,13.0,1.0819778442382812
15.0,13.0,1.0825040340423584
21.0,38.0,-0.6937018036842346
14.0,38.0,-0.6937018036842346
13.0,38.0,-0.6932632923126221
6.0,38.0,-0.6932632923126221
5.0,38.0,-0.6932632923126221
12.0,30.0,-0.6762054562568665
