Dataset,Model,Case Length,DURATION TO END_F1,DURATION TO NEXT EVENT_F1,LAST RESOURCE_F1,NEXT RESOURCE_F1,NEXT ACTIVITY_F1,OUTCOME ACTIVITY_F1,DURATION TO END_F2,DURATION TO NEXT EVENT_F2,LAST RESOURCE_F2,NEXT RESOURCE_F2,NEXT ACTIVITY_F2,OUTCOME ACTIVITY_F2
BPIC12,Camargo_concat,DATASET-LEVEL,0.6576134992611711,0.0,0.737706781565141,0.2868755189967857,0.0,0.6586657007308288,0.0,nan,0.0,0.0,0.0,0.0
BPIC12,Camargo_concat,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
BPIC12,Camargo_concat,2,0.0,0.0,0.052908178328904626,1.0,0.9155709739871338,0.7306105042082143,nan,nan,nan,nan,nan,nan
BPIC12,Camargo_concat,3,0.0,0.0,0.0,0.0,0.0,0.34375,nan,nan,nan,nan,nan,nan
BPIC12,Camargo_concat,4,0.01816239316239316,0.0,0.3340301003344482,0.19822375409285986,0.015161649944258644,0.27480490523968787,nan,nan,nan,nan,nan,nan
BPIC12,Camargo_concat,5,0.0,0.0,0.0,0.10522631772776954,0.0,0.0,nan,nan,nan,nan,nan,nan
BPIC12,Camargo_concat,6,0.0,0.0,0.0,0.0063591547443933635,0.020595690747782003,0.13109157160963242,nan,nan,nan,nan,nan,nan
BPIC12,Camargo_concat,7,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan
BPIC12,Camargo_concat,8,0.0,0.0,0.0,0.0,0.05587775584073708,0.0,nan,nan,nan,nan,nan,nan
BPIC12,Camargo_concat,9,2.579409388879023e-10,0.0,0.00012956682418372305,0.0,0.0,0.0014551985546843232,nan,nan,nan,nan,nan,nan
BPIC12,Camargo_concat,10,0.0,0.0,0.0,0.0,0.0,0.0004450715152943061,nan,nan,nan,nan,nan,nan
BPIC12,Camargo_concat,11,0.0,0.0,0.0,0.0,0.0,0.016750782038062188,nan,nan,nan,nan,nan,nan
BPIC12,Camargo_concat,12,0.0,0.0,0.0,0.0,0.0,0.01752271108162401,nan,nan,nan,nan,nan,nan
BPIC12,Camargo_concat,13,0.0,0.0,0.0,0.0,0.0013040591805766313,0.20231546715803161,nan,nan,nan,nan,nan,nan
BPIC12,Camargo_concat,14,0.0,0.0,0.0,0.0008612274587794687,0.0,0.001630855607643287,nan,nan,nan,nan,nan,nan
