CAT_activity_0,CAT_resource_0,CONT_timestamp_Relative_elapsed_0
2.0,18.0,1.007580280303955
2.0,18.0,1.007580280303955
2.0,18.0,1.007580280303955
2.0,18.0,1.007580280303955
2.0,18.0,2.2322335243225098
2.0,18.0,2.2322335243225098
2.0,18.0,1.2246007919311523
2.0,18.0,1.2246007919311523
2.0,18.0,1.2246007919311523
2.0,18.0,1.873955488204956
2.0,18.0,1.873955488204956
2.0,18.0,1.873955488204956
2.0,18.0,1.873955488204956
2.0,18.0,1.873955488204956
2.0,18.0,1.873955488204956
2.0,18.0,1.873955488204956
2.0,18.0,1.8928884267807007
2.0,18.0,1.8928884267807007
2.0,18.0,1.8928884267807007
2.0,18.0,1.8928884267807007
2.0,18.0,2.3465683460235596
2.0,18.0,2.3465683460235596
2.0,18.0,2.3465683460235596
2.0,18.0,2.3465683460235596
2.0,18.0,2.3465683460235596
2.0,18.0,1.133299469947815
2.0,18.0,1.133299469947815
2.0,18.0,1.133299469947815
2.0,16.0,1.0787667036056519
2.0,16.0,1.0787667036056519
2.0,16.0,1.0787667036056519
2.0,16.0,1.0787667036056519
2.0,16.0,1.0787667036056519
2.0,18.0,2.6388566493988037
2.0,18.0,2.6388566493988037
2.0,18.0,2.6388566493988037
2.0,16.0,1.3622604608535767
2.0,16.0,1.3622604608535767
2.0,16.0,1.3622604608535767
2.0,16.0,1.3622604608535767
2.0,16.0,1.3622604608535767
2.0,16.0,1.3485302925109863
2.0,16.0,1.3485302925109863
2.0,16.0,1.3485302925109863
2.0,16.0,1.3485302925109863
2.0,18.0,1.8840374946594238
2.0,18.0,1.8840374946594238
2.0,18.0,1.8840374946594238
2.0,18.0,1.7630462646484375
2.0,18.0,1.7630462646484375
2.0,18.0,1.7630462646484375
2.0,18.0,2.639084577560425
2.0,18.0,2.639084577560425
2.0,18.0,2.639084577560425
2.0,18.0,2.639084577560425
2.0,18.0,1.7675604820251465
2.0,18.0,1.7675604820251465
2.0,18.0,1.7675604820251465
2.0,18.0,1.7675604820251465
2.0,18.0,1.7675604820251465
2.0,18.0,1.7676035165786743
2.0,18.0,1.7676035165786743
2.0,18.0,1.7676035165786743
2.0,18.0,2.2171008586883545
2.0,18.0,2.2171008586883545
2.0,18.0,2.2171008586883545
2.0,18.0,2.2171008586883545
2.0,16.0,0.9905285835266113
2.0,16.0,0.9905285835266113
2.0,16.0,2.331514358520508
2.0,16.0,2.331514358520508
2.0,16.0,2.331514358520508
2.0,16.0,2.331514358520508
2.0,18.0,2.593766450881958
2.0,18.0,2.593766450881958
2.0,18.0,2.593766450881958
2.0,18.0,2.593766450881958
2.0,18.0,1.0004982948303223
2.0,18.0,1.0004982948303223
2.0,18.0,1.0004982948303223
2.0,18.0,2.233356237411499
2.0,18.0,2.233356237411499
2.0,18.0,2.233356237411499
2.0,16.0,1.0665909051895142
2.0,16.0,1.0665909051895142
2.0,16.0,1.0665909051895142
2.0,16.0,1.0665909051895142
2.0,18.0,2.004803419113159
2.0,18.0,2.004803419113159
2.0,18.0,2.004803419113159
2.0,18.0,1.3537726402282715
2.0,18.0,1.3537726402282715
2.0,18.0,1.3537726402282715
2.0,18.0,1.3537726402282715
2.0,18.0,1.3537726402282715
2.0,18.0,2.589792013168335
2.0,18.0,2.589792013168335
2.0,18.0,2.589792013168335
2.0,18.0,2.589792013168335
2.0,18.0,2.589792013168335
2.0,18.0,1.3613615036010742
2.0,18.0,1.3613615036010742
2.0,18.0,1.3613615036010742
2.0,18.0,1.9999847412109375
2.0,18.0,1.9999847412109375
2.0,18.0,1.9999847412109375
2.0,18.0,1.8838162422180176
2.0,18.0,1.8838162422180176
2.0,18.0,1.8838162422180176
2.0,18.0,1.9644742012023926
2.0,18.0,1.9644742012023926
2.0,18.0,1.9644742012023926
2.0,18.0,1.9644742012023926
2.0,18.0,1.9644742012023926
2.0,18.0,2.285423755645752
2.0,18.0,2.285423755645752
2.0,18.0,2.285423755645752
2.0,18.0,2.285423755645752
2.0,18.0,1.2342182397842407
2.0,18.0,1.2342182397842407
2.0,18.0,1.2342182397842407
2.0,18.0,1.2342182397842407
2.0,18.0,1.7677823305130005
2.0,18.0,1.7677823305130005
2.0,18.0,1.8790042400360107
2.0,18.0,1.8790042400360107
2.0,18.0,1.8790042400360107
2.0,16.0,1.0563422441482544
2.0,16.0,1.0563422441482544
2.0,16.0,1.0563422441482544
2.0,16.0,1.0563422441482544
2.0,18.0,1.830782175064087
2.0,18.0,1.830782175064087
2.0,18.0,1.830782175064087
2.0,18.0,1.0126510858535767
2.0,18.0,1.0126510858535767
2.0,18.0,1.0126510858535767
2.0,18.0,1.012290120124817
2.0,18.0,1.012290120124817
2.0,18.0,1.012290120124817
2.0,18.0,1.012290120124817
2.0,18.0,1.0196685791015625
2.0,18.0,1.0196685791015625
2.0,18.0,1.0196685791015625
2.0,18.0,1.0196685791015625
2.0,18.0,1.0196685791015625
2.0,18.0,1.0196685791015625
2.0,16.0,2.0516815185546875
2.0,16.0,2.0516815185546875
2.0,16.0,2.0516815185546875
2.0,18.0,2.2325541973114014
2.0,18.0,2.2325541973114014
2.0,18.0,2.2325541973114014
2.0,18.0,1.5986732244491577
2.0,18.0,1.5986732244491577
2.0,18.0,1.5986732244491577
2.0,18.0,1.5986732244491577
2.0,18.0,1.5986732244491577
2.0,18.0,1.6507089138031006
2.0,18.0,1.6507089138031006
2.0,18.0,1.6507089138031006
2.0,18.0,1.0125778913497925
2.0,18.0,1.0125778913497925
2.0,18.0,1.0125778913497925
2.0,18.0,1.4660649299621582
2.0,18.0,1.4660649299621582
2.0,18.0,1.4660649299621582
2.0,16.0,1.655055046081543
2.0,16.0,1.655055046081543
2.0,16.0,1.655055046081543
2.0,16.0,1.655055046081543
2.0,16.0,1.2016735076904297
2.0,16.0,1.2016735076904297
2.0,16.0,1.2016735076904297
2.0,16.0,1.2016735076904297
2.0,18.0,1.5351845026016235
2.0,18.0,1.5351845026016235
2.0,18.0,1.5351845026016235
2.0,18.0,1.194668173789978
2.0,18.0,1.194668173789978
2.0,18.0,1.194668173789978
2.0,18.0,1.194668173789978
2.0,18.0,1.883950114250183
2.0,18.0,1.883950114250183
2.0,18.0,1.883950114250183
2.0,16.0,1.0170598030090332
2.0,16.0,1.0170598030090332
2.0,16.0,1.0170598030090332
2.0,16.0,1.0170598030090332
2.0,16.0,1.0170598030090332
2.0,18.0,1.1286367177963257
2.0,18.0,1.1286367177963257
2.0,18.0,1.1286367177963257
2.0,18.0,1.7675167322158813
2.0,18.0,1.7675167322158813
2.0,18.0,1.7675167322158813
2.0,18.0,1.012346625328064
2.0,18.0,1.012346625328064
2.0,18.0,1.012346625328064
2.0,16.0,1.5502325296401978
2.0,16.0,1.5502325296401978
